timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629132836664,2,viewMyLeaveList-43,304,Not Modified,Thread Group 1-17,,true,,205,808,100,100,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmCorePlugin/css/mainMenuComponent.css,0,0,0
1629132836666,3,viewMyLeaveList-44,304,Not Modified,Thread Group 1-17,,true,,206,794,100,100,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/logo.png,0,0,0
1629132836666,3,viewMyLeaveList-45,304,Not Modified,Thread Group 1-17,,true,,207,801,100,100,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmBuzzPlugin/images/close.png,0,0,0
1629132836669,3,viewMyLeaveList-46,304,Not Modified,Thread Group 1-17,,true,,205,799,100,100,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmBuzzPlugin/images/vload.gif,0,0,0
1629132836669,51,viewMyLeaveList-47,200,OK,Thread Group 1-17,text,true,,1640,712,100,100,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmCorePlugin/js/_ohrmList.js,51,0,0
1629132799748,33821,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-17,,true,,1529087,89644,100,100,null,15534,9321,5496
1629132832398,21651,viewMyLeaveList,200,OK,Thread Group 1-2,text,true,,115559,38492,99,99,http://localhost/orangehrm/symfony/web/index.php/leave/viewMyLeaveList,7001,0,1
1629132832398,7008,viewMyLeaveList-0,200,OK,Thread Group 1-2,text,true,,90252,677,99,99,http://localhost/orangehrm/symfony/web/index.php/leave/viewMyLeaveList,7001,0,1
1629132839414,3,viewMyLeaveList-1,304,Not Modified,Thread Group 1-2,,true,,205,796,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/favicon.ico,0,0,0
1629132839414,6778,viewMyLeaveList-2,304,Not Modified,Thread Group 1-2,,true,,206,791,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/reset.css,0,0,1
1629132839414,6792,viewMyLeaveList-3,304,Not Modified,Thread Group 1-2,,true,,206,792,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/tipTip.css,0,0,1
1629132839414,6805,viewMyLeaveList-4,304,Not Modified,Thread Group 1-2,,true,,207,817,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/jquery/jquery-ui-1.8.21.custom.css,0,0,1
1629132839414,6833,viewMyLeaveList-5,304,Not Modified,Thread Group 1-2,,true,,206,812,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/jquery/jquery.autocomplete.css,0,0,1
1629132839414,6827,viewMyLeaveList-6,304,Not Modified,Thread Group 1-2,,true,,207,791,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/main.css,0,0,1
1629132839417,6833,viewMyLeaveList-7,304,Not Modified,Thread Group 1-2,,true,,208,794,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery-3.4.1.min.js,0,0,1
1629132846193,7350,viewMyLeaveList-8,304,Not Modified,Thread Group 1-2,,true,,207,801,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/validate/jquery.validate.js,0,0,0
1629132846206,7572,viewMyLeaveList-9,304,Not Modified,Thread Group 1-2,,true,,207,791,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.ui.core.js,0,0,1
1629132846220,7564,viewMyLeaveList-10,304,Not Modified,Thread Group 1-2,,true,,207,796,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.autocomplete.js,0,0,0
