Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
applyLeave,100,18613,17312,30656,34673,38319,463,38747,36.000%,1.06427,106.46,42.80
TOTAL,100,18613,17312,30656,34673,38319,463,38747,36.000%,1.06427,106.46,42.80
