Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
applyLeave,100,18613,463,38747,8867.34,36.000%,1.06427,106.46,42.80,102429.5
TOTAL,100,18613,463,38747,8867.34,36.000%,1.06427,106.46,42.80,102429.5
