timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629133841010,2,http://localhost/orangehrm-25,200,OK,Thread Group 1-1,text,true,,705,583,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/orangehrm.helper.js,2,0,0
1629133841010,5,http://localhost/orangehrm-26,200,OK,Thread Group 1-1,text,true,,6596,589,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/login.css,5,0,0
1629133841012,3,http://localhost/orangehrm-27,200,OK,Thread Group 1-1,bin,true,,30789,597,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/login/logo.png,3,0,0
1629133841012,3,http://localhost/orangehrm-28,200,OK,Thread Group 1-1,bin,true,,4241,601,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/login/linkedin.png,3,0,0
1629133841013,2,http://localhost/orangehrm-29,200,OK,Thread Group 1-1,bin,true,,4189,601,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/login/facebook.png,2,0,0
1629133841015,3,http://localhost/orangehrm-30,200,OK,Thread Group 1-1,bin,true,,4388,599,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/login/twiter.png,3,0,0
1629133841015,3,http://localhost/orangehrm-31,200,OK,Thread Group 1-1,bin,true,,4392,600,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/login/youtube.png,3,0,0
1629133840803,369,http://localhost/orangehrm,200,OK,Thread Group 1-2,text,true,,1219735,18666,5,5,http://localhost/orangehrm/symfony/web/index.php/auth/login,2,0,0
1629133840803,2,http://localhost/orangehrm-0,301,Moved Permanently,Thread Group 1-2,text,true,,624,471,5,5,http://localhost/orangehrm,2,0,0
1629133840805,6,http://localhost/orangehrm-1,302,Found,Thread Group 1-2,text,true,,302,472,5,5,http://localhost/orangehrm/,6,0,0
1629133840812,309,http://localhost/orangehrm-2,200,OK,Thread Group 1-2,text,true,,38831,504,5,5,http://localhost/orangehrm/symfony/web/index.php/auth/login,306,0,0
1629133841124,4,http://localhost/orangehrm-3,200,OK,Thread Group 1-2,bin,true,,943,594,5,5,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/favicon.ico,4,0,0
1629133841124,7,http://localhost/orangehrm-4,200,OK,Thread Group 1-2,text,true,,1426,589,5,5,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/reset.css,7,0,0
1629133841124,41,http://localhost/orangehrm-5,200,OK,Thread Group 1-2,text,true,,2809,590,5,5,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/tipTip.css,41,0,0
